birth	death	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR
1956	2006		2		1									
1915	2005			1										
1969	2007				1									
1911	1973			1										
1903	1974						1							
1898	1963						1							
2007	2068			1										
1971	2006					1		1						
1908	1972			1										
1907	1973			2										
2044	2069				1									
1916	1970			2										
1901	1971	1		2										
2028	2070	1												
1892	1973						1							
1909	1970			1										
1906	1972			1										
1960	2006				1									
1959	1982				1									
2013	2066			1										
1929	1971		1											
1920	1994			1										
1931	2005	3												
1911	1972			1										
1910	1971			1										
2012	2069			1										
1913	1971			2										
1874	1965									1				
1914	1971			1										
1949	1970		1											
1895	1964						1							
1905	1972			2										
2032	2069	2												
1934	1973	1												
1917	1972			2										
1942	1975		1											
1919	1972			1										
1897	1973			1			1							
1917	1981			1										
1925	1979			1										
1908	1980			2										
1909	2005			1										
1894	1970						1							
1917	1991			3										
1918	1975		1											
1923	1989	1												
1925	1977			2										
1898	1978						1							
1914	1974			1										
1913	1980			1										
1938	1997	1												
1910	1978			1										
1926	1981	1		1										
1922	1984			1	1									
1966	1991					1								
1937	1981				1									
1894	1981						1							
1911	1982			1										
1919	1980	1		2										
1910	1981			2										
1907	1989			1										
1922	1981			1										
1920	1982			3										
1958	1983				1									
1955	2004		1											
1946	1979		1											
1921	1983			2										
1906	1987			1										
1839	1930													1
1919	1981			1										
1914	1980			1										
1914	1981			4										
1925	2005			2										
1927	1980			1										
1919	1978			1										
2005	2064			1										
2018	2069		1	1										
1925	1980	1		1										
1891	1981						1							
1929	1985	1		1										
1884	1981						1							
1909	1981			1										
1911	1980			1										
1920	1980			1										
1950	1993		1											
1918	1996			2	1									
1917	1979			1										
1941	1976		1											
1980	2007					1								
1945	2006		3	1										
1909	2006			1										
1904	1991			1										
1933	1991	1												
1905	1976			1										
1933	1992	1												
1912	1989			2										
1972	2007					2								
1926	1999			2										
1913	1994			1										
2025	2046			1										
1976	2008					1		1					1	
1909	2008				1									
1934	1980				1									
1936	1980				1									
1925	1981			1										
1930	1982	1	1	1										
1895	1982						1							
1939	1981				1									
1921	1982			1										
1924	1981	1												
1928	1980			1										
1982	2006							1						
1929	1980				1									
1972	2006				1									
1929	1981	1		1										
1939	1982		1											
1931	1988			1										
1892	1980						1							
1944	1980			1										
1924	1979			1										
1906	1980			1										
1925	1982			1										
