birth	death	total	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR	SOMALIA	MEXICAN BORDER	KOSOVO	PHILIPPINES	INDIAN WARS	CONFEDERATE STATES	REVOLUTIONARY WAR	MEXICAN WAR	undefined	WAR OF 1812
1886	1908	1				1																			
1864	1922	1									1														
1864	1920	1				1																			
1858	1898	1				1																			
1868	1974	2						2																	
1842	1882	1				1																			
1902	1930	3			2			1																	
1834	1876	1				1																			
1754	1776	1				1																			
1846	1952	1									1				1										
1830	1880	1													1					1					
1844	1884	1				1																			
1866	1894	1				1																			
1892	1914	1				1																			
1832	1936	1						1																	
1824	1918	1													1										
1908	1928	1									1														
1852	1928	1													1										
1864	1910	1				1																			
1984	2002	9				2	6		1																
1844	1954	1						1																	
1910	1928	1				1																			
1938	2010	6392	110	2937	2	3359	92					2	2												
1818	1884	1				1																			
1856	1930	1				1																			
1858	1918	1				1																			
1874	1920	1				1																			
1870	1930	3									3														
1742	1776	1																				1			
1824	1888	1				1																			
1936	2010	7409	2411	2341	6	3218	56		1	1		1	2	1		1			1						
1948	2008	6307		6098		160	245		7	2		10	9	2		1									
1830	1904	2				1					1														
1852	1930	1				1																			
1716	1800	1																				1			
1746	1832	1																				1			
1856	1956	1						1																	
1852	1932	1				1																			
1808	1878	1				1																			
1856	1964	1				1																			
1846	1956	1						1																	
1850	1926	1									1									1					
1906	1924	2			2																				
1850	1938	1				1																			
1854	1944	2				1														1					
1758	1826	1																				1			
1840	1946	1													1										
1880	1912	1				1																			
1960	2004	696		1		572	106		10	6		14	14	3		5		3	2						
1858	1968	1						1																	
1864	1886	1				1																			
1772	1860	1																							1
1746	1822	1																				1			
1862	1968	1						1																	
1980	2004	139				17	56		80					12		1		2	1						
1846	1944	2													2										
1982	2004	151				16	60		106					13		1									
1864	1900	1				1																			
1854	1900	1				1																			
1904	2004	65	5	2	59	4		1																	
1896	2004	3			1			3									1								
1826	1912	1													1										
1868	1924	1									1														
1898	2004	7			4			3																	
1978	2004	115				19	47		59					11		3		6	1						
1826	1908	1																					1		
1902	2004	30	6	1	27	2		3																	
1774	1832	1				1																			
1880	1910	1									1														
1900	2004	11	1		10			1																	
1858	1952	1									1														
1762	1808	1																				1			
1860	1970	1									1														
1814	1856	1				1																			
1762	1844	1																		1					
1860	1906	1				1																			
1856	1962	1						1																	
1846	1946	1						1																	
1862	1900	1				1																			
1850	1952	1				1																			
1856	1960	1				1																			
1882	1904	1				1																			
1854	1948	1						1																	
1862	1920	2						1												1					
1820	1898	1													1										
1844	1952	1													1										
1864	1970	1									1														
1822	1902	1				1																			
1842	1944	1			1																				
1806	1878	1													1										
1790	1856	1																							1
1986	2004	16				5	7		8					1											
1792	1868	1																							1
1822	1906	1													1										
1932	2010	11820	10450	1897	20	950	45					4	3												
1762	1812	1																				1			1
1800	1862	1				1																			
1742	1784	1				1																			
1762	1824	1				1																			
1826	1892	1													1										
1802	1890	1													1										
1922	2008	14250	2055	1008	13822	129	2	1																	
1924	2010	15070	2574	1096	14216	177	1																		
1916	2010	3783	594	303	3676	65																			
1914	2010	1785	290	127	1721	38																			
1946	2010	8759	2	8506	1	208	224		10	2		2	2	3				1							
1948	2010	7630		7350	1	230	273		15	1		2	1	4											
1930	2008	11856	10807	2014	186	660	26					1	2												
1940	2008	5130	17	3518	4	1578	77			3		8	8			2									
1918	2008	8548	1326	675	8378	79																			
1924	2008	14581	2425	1115	13829	157			1																
1946	2008	7500		7296	1	167	186		10	6		12	14	6		2									
1916	2008	4886	743	354	4764	58																			
1944	2008	5717	4	5428	1	272	121		5	1		4	4			1									
1928	2008	11427	8261	1798	3428	577	4					3	2												
1954	2008	2602		1840		611	253		17	2		5	8	3		1									
1950	2008	4184		3873		236	236		7	4		8	6	2		2		1							
1962	2008	754				516	211		33	7		10	13	8		1		3	1						
1912	2008	1096	162	67	1053	31	1		1					1											
1932	2008	10573	9383	1800	21	746	30					2	1											1	
1942	2008	5944	8	5047	1	874	88		1	5		12	13	3		1									
1960	2008	1066		1		821	219		33	4		19	20	6		2									
1934	2008	7836	4975	1844	11	2054	48			1		4	4												
1952	2008	3172		2683		381	246		14	10		8	8	5		3		1							
1974	2008	156				35	95		37					15		2		4	1						
1910	2008	457	77	28	440	9																			
1958	2008	1484		14	1	1230	222		23	4		16	16	4		5		2	1						
1938	2008	5475	88	2541	3	2858	56			1		5	9			1									
1914	2008	2504	377	171	2437	41																			
1990	2008	14				6	7		5					1											
1964	2008	456		1		242	193		32	6		6	9	10		5		2	2						
1966	2008	391				157	221		33	5				5		2		1							
1970	2008	256				27	206		28	2				14		5									
1968	2008	298				69	209		35	3				7		2		2							
1908	2008	188	24	8	175	10																			
1986	2008	139				20	51		70					26											
1982	2008	160				20	68		103					30		1		1	1						
1930	2010	12883	11806	2193	167	729	26		1			1	2	1											
1972	2008	131				18	97		20					10		2									
1984	2008	158				18	68		97					21											
1978	2008	139				9	83		68					24				3							
1976	2008	111				23	59		41					12				4							
1760	1838	1																				1			
1906	2008	66	7		64	2																			
1902	2008	9	4		8			2																	
1980	2008	153				17	78		87					21					1						
1988	2008	97				14	26		43					32											
1904	2008	8	2		8																				
1848	1878	1																		1					
1784	1850	1																		1			1		1
1870	1912	1				1																			
1982	2010	195				16	103		121					41											
1942	2010	6779	5	5674		1077	127		5			3	3	3											
1762	1828	1																				1			
1950	2010	5072		4678		306	292		17	2		5	6	6											
1940	2010	5991	11	4114	1	1852	83																		
1920	2010	11556	1706	882	11289	106	2																		
1952	2010	3806		3190		477	379		17	2		6	3	2		2		1							
1912	2010	699	100	45	674	13																			
1964	2010	568				328	218		47	4		5	2	10		1		1							
1956	2010	2601		866		1445	328		25	2		11	13	10		1		2							
1958	2010	1888		24		1547	303		37	2		9	8	8											
1968	2010	368				86	262		41	3				14		1		1							
1962	2010	878				612	240		50			9	10	14				1							
1910	2010	275	29	9	271	2																			
1908	2010	89	13	5	88	1																			
1960	2010	1287				974	287		47	1		17	21	14											
1980	2010	187				27	117		89					29		2		3	1						
1966	2010	509				219	271		47	4		1	1	14		3		1	1						
1972	2010	197			1	22	153		41					17		1									
1986	2010	200				18	76		114					71											
1974	2010	147				23	97		49					16				2							
1984	2010	200				22	84		122					51											
1988	2010	148				25	54		64					55		1		1	1						
1970	2010	308				45	242		45	2				17		5		2							
1978	2010	147				20	95		54					15				2							
1906	2010	19	3	1	18	1																			
1990	2010	80				20	24		17					39											
1902	2010	1			1																				
1820	1896	1													1										
1840	1894	1													1										
1900	2010	2			1			1																	
1826	1874	1													1										
1992	2010	9				3	2		3					3											
1926	2012	9096	2496	902	7713	111	4																		
1932	2012	8030	7062	1378	8	644	26	1				1	1												
1960	2012	1009		1		793	199		26			6	3	12				1							
1922	2012	8489	1171	581	8235	68	1																		
1930	2012	8490	7787	1479	120	459	24																		
1916	2012	1881	313	148	1842	18																			
1946	2012	6124	1	5947	2	142	182		8			1	1	2											
1928	2012	8045	5950	1288	2305	377	7																		
1952	2012	2631		2158		356	248		10				2	6											
1924	2012	9359	1503	690	8890	68						1	1											1	
1918	2012	3821	594	301	3743	21																			
1940	2012	4113	11	2852		1249	54		1					1											
1942	2012	4801	4	4016		764	103		1					1											
1934	2012	5970	3714	1368	4	1661	32					1	1												
1944	2012	4585	3	4362		205	123		5			3	2	1		1									
1920	2012	6536	949	466	6397	44	1																		
1938	2012	4330	59	2025	2	2250	29		1			3	2												
1936	2012	4977	1625	1622	1	2142	47																		
1950	2012	3487	1	3226		194	215		10			2	1	4											
1948	2012	5295	2	5073		177	187		12			2	1	7				2							
1954	2012	2275		1561		562	233		9			2	3	3											
1980	2012	143				11	90		80					34				1							
1984	2012	132				12	66		77					30											
1956	2012	1817		607		1014	216		19			3	3	11				1							
1914	2012	792	112	54	767	14																			
1912	2012	264	29	13	255	5																			
1958	2012	1253		12		1038	189		25	1		4	5	8		1		4							
1962	2012	614				393	197		34	3		12	9	6				1							
1970	2012	205				23	172		23					7											
1974	2012	124				14	90		32					13				4							
1964	2012	412				222	179		46			3	3	10				2							
1990	2012	80				11	43		26					28											
1978	2012	99				9	69		46					9				1							
1982	2012	142				13	81		81					19											
1976	2012	115				12	79		43					20				1							
1986	2012	124				5	68		68					44											
1966	2012	314				114	192		39					10		1		2							
1988	2012	112				13	58		46					48											
1910	2012	82	17	4	77	4																			
1968	2012	273				58	204		30					11				2							
1906	2012	8	1		8																				
1972	2012	134		1		17	101		27					7		1									
1908	2012	28	3	1	27																				
1992	2012	15				5	6		2					4											
1814	1892	1													1										
1902	2012	2	1		1																				
1872	1914	1									1														
1746	1780	1																				1			
1904	2012	1			1																				
1810	1878	1				1																			
